i,j,t,value
Primary and Light Industry,Heavy Industry and Manufacturing,5,2.236837029915928
Primary and Light Industry,Heavy Industry and Manufacturing,6,2.488806343305483
Primary and Light Industry,Heavy Industry and Manufacturing,7,2.731717213750029
Primary and Light Industry,Heavy Industry and Manufacturing,8,2.9658997057019354
Primary and Light Industry,Heavy Industry and Manufacturing,9,3.191673378509119
Primary and Light Industry,Heavy Industry and Manufacturing,10,3.409347354390757
Primary and Light Industry,Primary and Light Industry,0,-1.7702655122691535
Primary and Light Industry,Primary and Light Industry,1,-1.8863123454692765
Primary and Light Industry,Primary and Light Industry,2,-1.9887227370327998
Primary and Light Industry,Primary and Light Industry,3,-2.0785682456122556
Primary and Light Industry,Primary and Light Industry,4,-2.1568446990536283
Primary and Light Industry,Primary and Light Industry,5,-2.22447732767328
Primary and Light Industry,Primary and Light Industry,6,-2.2823255663324993
Primary and Light Industry,Primary and Light Industry,7,-2.3311875424600115
Primary and Light Industry,Primary and Light Industry,8,-2.3718042675481943
Primary and Light Industry,Primary and Light Industry,9,-2.40486354963938
Primary and Light Industry,Primary and Light Industry,10,-2.4310036438842553
Primary and Light Industry,Social and Professional Services,0,0.8137618610928765
Primary and Light Industry,Social and Professional Services,1,0.9757256108927637
Primary and Light Industry,Social and Professional Services,2,1.129063314767409
Primary and Light Industry,Social and Professional Services,3,1.2743322227676712
Primary and Light Industry,Social and Professional Services,4,1.412047763502322
Primary and Light Industry,Social and Professional Services,5,1.5426871252166796
Primary and Light Industry,Social and Professional Services,6,1.6666924805180283
Primary and Light Industry,Social and Professional Services,7,1.7844738974573504
Primary and Light Industry,Social and Professional Services,8,1.8964119733824614
Primary and Light Industry,Social and Professional Services,9,2.0028602227979864
Primary and Light Industry,Social and Professional Services,10,2.1041472461972743
Primary and Light Industry,Trade and Finance,0,0.18718183863308813
Primary and Light Industry,Trade and Finance,1,0.41729551257787545
Primary and Light Industry,Trade and Finance,2,0.6374652241570411
Primary and Light Industry,Trade and Finance,3,0.8481702271995406
Primary and Light Industry,Trade and Finance,4,1.0498668239094178
Primary and Light Industry,Trade and Finance,5,1.2429891092809564
Primary and Light Industry,Trade and Finance,6,1.4279497650410145
Primary and Light Industry,Trade and Finance,7,1.6051408856083027
Primary and Light Industry,Trade and Finance,8,1.7749348218267125
Primary and Light Industry,Trade and Finance,9,1.937685030982439
Primary and Light Industry,Trade and Finance,10,2.0937269239252876
Primary and Light Industry,Utilities and Transport,0,0.3092643521616534
Primary and Light Industry,Utilities and Transport,1,0.5367058474438524
Primary and Light Industry,Utilities and Transport,2,0.7510223709853658
Primary and Light Industry,Utilities and Transport,3,0.9532652038655831
Primary and Light Industry,Utilities and Transport,4,1.144377933539542
Primary and Light Industry,Utilities and Transport,5,1.3252095492553684
Primary and Light Industry,Utilities and Transport,6,1.4965257049166514
Primary and Light Industry,Utilities and Transport,7,1.659018442634097
Primary and Light Industry,Utilities and Transport,8,1.81331461658647
Primary and Light Industry,Utilities and Transport,9,1.9599832145235307
Primary and Light Industry,Utilities and Transport,10,2.099541740053512
Social and Professional Services,Heavy Industry and Manufacturing,0,0.8288296547231733
Social and Professional Services,Heavy Industry and Manufacturing,1,1.1314072478804338
Social and Professional Services,Heavy Industry and Manufacturing,2,1.4231203000304005
Social and Professional Services,Heavy Industry and Manufacturing,3,1.7043502521408183
Social and Professional Services,Heavy Industry and Manufacturing,4,1.9754686873736604
Social and Professional Services,Heavy Industry and Manufacturing,5,2.236837029915928
Social and Professional Services,Heavy Industry and Manufacturing,6,2.488806343305483
Social and Professional Services,Heavy Industry and Manufacturing,7,2.7317172137500068
Social and Professional Services,Heavy Industry and Manufacturing,8,2.965899705701913
Social and Professional Services,Heavy Industry and Manufacturing,9,3.191673378509141
Social and Professional Services,Heavy Industry and Manufacturing,10,3.409347354390735
Social and Professional Services,Primary and Light Industry,0,-1.7702655122691424
Social and Professional Services,Primary and Light Industry,1,-1.8863123454692765
Social and Professional Services,Primary and Light Industry,2,-1.9887227370327998
Social and Professional Services,Primary and Light Industry,3,-2.0785682456122667
Social and Professional Services,Primary and Light Industry,4,-2.1568446990536283
Social and Professional Services,Primary and Light Industry,5,-2.22447732767328
Social and Professional Services,Primary and Light Industry,6,-2.2823255663325104
Social and Professional Services,Primary and Light Industry,7,-2.3311875424600115
Social and Professional Services,Primary and Light Industry,8,-2.3718042675481943
Social and Professional Services,Primary and Light Industry,9,-2.404863549639369
Social and Professional Services,Primary and Light Industry,10,-2.431003643884244
Social and Professional Services,Social and Professional Services,0,0.8137618610928543
Social and Professional Services,Social and Professional Services,1,0.9757256108927415
Social and Professional Services,Social and Professional Services,2,1.1290633147673645
Social and Professional Services,Social and Professional Services,3,1.2743322227676268
Social and Professional Services,Social and Professional Services,4,1.412047763502322
Social and Professional Services,Social and Professional Services,5,1.5426871252166574
Social and Professional Services,Social and Professional Services,6,1.666692480517984
Social and Professional Services,Social and Professional Services,7,1.7844738974573504
Social and Professional Services,Social and Professional Services,8,1.8964119733824614
Social and Professional Services,Social and Professional Services,9,2.002860222797964
Social and Professional Services,Social and Professional Services,10,2.104147246197252
Social and Professional Services,Trade and Finance,0,0.18718183863308813
Social and Professional Services,Trade and Finance,1,0.41729551257787545
Social and Professional Services,Trade and Finance,2,0.6374652241570411
Social and Professional Services,Trade and Finance,3,0.8481702271995184
Social and Professional Services,Trade and Finance,4,1.0498668239094178
Social and Professional Services,Trade and Finance,5,1.2429891092809564
Social and Professional Services,Trade and Finance,6,1.4279497650410145
Social and Professional Services,Trade and Finance,7,1.6051408856082805
Social and Professional Services,Trade and Finance,8,1.7749348218267125
Social and Professional Services,Trade and Finance,9,1.9376850309824611
Social and Professional Services,Trade and Finance,10,2.0937269239252876
Social and Professional Services,Utilities and Transport,0,0.3092643521616534
Social and Professional Services,Utilities and Transport,1,0.5367058474438524
Social and Professional Services,Utilities and Transport,2,0.7510223709853658
Social and Professional Services,Utilities and Transport,3,0.9532652038655831
Social and Professional Services,Utilities and Transport,4,1.144377933539542
Social and Professional Services,Utilities and Transport,5,1.3252095492553684
Social and Professional Services,Utilities and Transport,6,1.4965257049166292
Social and Professional Services,Utilities and Transport,7,1.659018442634097
Social and Professional Services,Utilities and Transport,8,1.81331461658647
Social and Professional Services,Utilities and Transport,9,1.959983214523553
Social and Professional Services,Utilities and Transport,10,2.099541740053512
Trade and Finance,Heavy Industry and Manufacturing,0,0.8288296547231733
Trade and Finance,Heavy Industry and Manufacturing,1,1.1314072478804338
Trade and Finance,Heavy Industry and Manufacturing,2,1.4231203000304005
Trade and Finance,Heavy Industry and Manufacturing,3,1.7043502521408405
Trade and Finance,Heavy Industry and Manufacturing,4,1.9754686873736604
Trade and Finance,Heavy Industry and Manufacturing,5,2.2368370299159057
Trade and Finance,Heavy Industry and Manufacturing,6,2.488806343305461
Trade and Finance,Heavy Industry and Manufacturing,7,2.7317172137500068
Trade and Finance,Heavy Industry and Manufacturing,8,2.9658997057019354
Trade and Finance,Heavy Industry and Manufacturing,9,3.191673378509141
Trade and Finance,Heavy Industry and Manufacturing,10,3.409347354390757
Trade and Finance,Primary and Light Industry,0,-1.7702655122691646
Trade and Finance,Primary and Light Industry,1,-1.8863123454692987
Trade and Finance,Primary and Light Industry,2,-1.988722737032822
Trade and Finance,Primary and Light Industry,3,-2.0785682456122667
Trade and Finance,Primary and Light Industry,4,-2.1568446990536283
Trade and Finance,Primary and Light Industry,5,-2.224477327673302
Trade and Finance,Primary and Light Industry,6,-2.2823255663325104
Trade and Finance,Primary and Light Industry,7,-2.3311875424600226
Trade and Finance,Primary and Light Industry,8,-2.3718042675481943
Trade and Finance,Primary and Light Industry,9,-2.404863549639391
Trade and Finance,Primary and Light Industry,10,-2.4310036438842553
Trade and Finance,Social and Professional Services,0,0.8137618610928543
Trade and Finance,Social and Professional Services,1,0.9757256108927637
Trade and Finance,Social and Professional Services,2,1.1290633147673867
Trade and Finance,Social and Professional Services,3,1.2743322227676268
Trade and Finance,Social and Professional Services,4,1.4120477635023443
Trade and Finance,Social and Professional Services,5,1.5426871252166352
Trade and Finance,Social and Professional Services,6,1.6666924805180061
Trade and Finance,Social and Professional Services,7,1.7844738974573726
Trade and Finance,Social and Professional Services,8,1.8964119733824614
Trade and Finance,Social and Professional Services,9,2.0028602227979864
Trade and Finance,Social and Professional Services,10,2.104147246197252
Trade and Finance,Trade and Finance,0,0.18718183863308813
Trade and Finance,Trade and Finance,1,0.41729551257787545
Trade and Finance,Trade and Finance,2,0.6374652241570411
Trade and Finance,Trade and Finance,3,0.8481702271995184
Trade and Finance,Trade and Finance,4,1.0498668239094178
Trade and Finance,Trade and Finance,5,1.2429891092809564
Trade and Finance,Trade and Finance,6,1.4279497650410145
Trade and Finance,Trade and Finance,7,1.6051408856083027
Trade and Finance,Trade and Finance,8,1.7749348218266903
Trade and Finance,Trade and Finance,9,1.937685030982439
Trade and Finance,Trade and Finance,10,2.0937269239252876
Trade and Finance,Utilities and Transport,0,0.3092643521616534
Trade and Finance,Utilities and Transport,1,0.5367058474438302
Trade and Finance,Utilities and Transport,2,0.7510223709853658
Trade and Finance,Utilities and Transport,3,0.9532652038655831
Trade and Finance,Utilities and Transport,4,1.144377933539542
Trade and Finance,Utilities and Transport,5,1.3252095492553684
Trade and Finance,Utilities and Transport,6,1.4965257049166292
Trade and Finance,Utilities and Transport,7,1.6590184426340748
Trade and Finance,Utilities and Transport,8,1.8133146165864478
Trade and Finance,Utilities and Transport,9,1.9599832145235752
Trade and Finance,Utilities and Transport,10,2.09954174005349
Utilities and Transport,Heavy Industry and Manufacturing,0,0.8288296547231733
Utilities and Transport,Heavy Industry and Manufacturing,1,1.1314072478804116
Utilities and Transport,Heavy Industry and Manufacturing,2,1.4231203000304005
Utilities and Transport,Heavy Industry and Manufacturing,3,1.7043502521408405
Utilities and Transport,Heavy Industry and Manufacturing,4,1.9754686873736604
Utilities and Transport,Heavy Industry and Manufacturing,5,2.236837029915928
Utilities and Transport,Heavy Industry and Manufacturing,6,2.488806343305483
Utilities and Transport,Heavy Industry and Manufacturing,7,2.731717213750029
Utilities and Transport,Heavy Industry and Manufacturing,8,2.9658997057019354
Utilities and Transport,Heavy Industry and Manufacturing,9,3.191673378509141
Utilities and Transport,Heavy Industry and Manufacturing,10,3.409347354390735
Utilities and Transport,Primary and Light Industry,0,-1.7702655122691646
Utilities and Transport,Primary and Light Industry,1,-1.8863123454692987
Utilities and Transport,Primary and Light Industry,2,-1.988722737032833
Utilities and Transport,Primary and Light Industry,3,-2.0785682456122667
Utilities and Transport,Primary and Light Industry,4,-2.1568446990536283
Utilities and Transport,Primary and Light Industry,5,-2.224477327673291
Utilities and Transport,Primary and Light Industry,6,-2.2823255663325104
Utilities and Transport,Primary and Light Industry,7,-2.3311875424600226
Utilities and Transport,Primary and Light Industry,8,-2.3718042675482054
Utilities and Transport,Primary and Light Industry,9,-2.40486354963938
Utilities and Transport,Primary and Light Industry,10,-2.431003643884244
Utilities and Transport,Social and Professional Services,0,0.8137618610928765
Utilities and Transport,Social and Professional Services,1,0.9757256108927637
Utilities and Transport,Social and Professional Services,2,1.1290633147673867
Utilities and Transport,Social and Professional Services,3,1.274332222767649
Utilities and Transport,Social and Professional Services,4,1.4120477635023443
Utilities and Transport,Social and Professional Services,5,1.5426871252166796
Utilities and Transport,Social and Professional Services,6,1.6666924805180061
Utilities and Transport,Social and Professional Services,7,1.7844738974573504
Utilities and Transport,Social and Professional Services,8,1.8964119733824614
Utilities and Transport,Social and Professional Services,9,2.002860222797964
Utilities and Transport,Social and Professional Services,10,2.1041472461972743
Utilities and Transport,Trade and Finance,0,0.18718183863308813
Utilities and Transport,Trade and Finance,1,0.41729551257787545
Utilities and Transport,Trade and Finance,2,0.6374652241570411
Utilities and Transport,Trade and Finance,3,0.8481702271995406
Utilities and Transport,Trade and Finance,4,1.0498668239094178
Utilities and Transport,Trade and Finance,5,1.2429891092809786
Utilities and Transport,Trade and Finance,6,1.4279497650410367
Utilities and Transport,Trade and Finance,7,1.6051408856083027
Utilities and Transport,Trade and Finance,8,1.7749348218266903
Utilities and Transport,Trade and Finance,9,1.9376850309824611
Utilities and Transport,Trade and Finance,10,2.09372692392531
Utilities and Transport,Utilities and Transport,0,0.3092643521616534
Utilities and Transport,Utilities and Transport,1,0.5367058474438524
Utilities and Transport,Utilities and Transport,2,0.7510223709853658
Utilities and Transport,Utilities and Transport,3,0.9532652038655831
Utilities and Transport,Utilities and Transport,4,1.144377933539542
Utilities and Transport,Utilities and Transport,5,1.3252095492553684
Utilities and Transport,Utilities and Transport,6,1.4965257049166514
Utilities and Transport,Utilities and Transport,7,1.659018442634097
Utilities and Transport,Utilities and Transport,8,1.8133146165864478
Utilities and Transport,Utilities and Transport,9,1.959983214523553
Utilities and Transport,Utilities and Transport,10,2.09954174005349
